seed,val_AUPR,test_AUC,test_AUPRC
1,0.8019279554470676,0.7894965277777778,0.8157327373190242
2,0.7301339499620467,0.6961805555555556,0.668945662940124
4,0.8211296723424764,0.7313368055555556,0.7734169959181152
8,0.8195939886238255,0.8085937499999999,0.8472619744193051
16,0.8070065587037517,0.814236111111111,0.8412187389565746
