seed,val_AUPR,test_AUC,test_AUPRC
1,0.8191701356048284,0.74609375,0.7918003536625177
seed,val_AUPR,test_AUC,test_AUPRC
2,0.7287771123552091,0.47092013888888884,0.48120489556189744
seed,val_AUPR,test_AUC,test_AUPRC
1,0.8191701356048284,0.74609375,0.7918003536625177
seed,val_AUPR,test_AUC,test_AUPRC
2,0.7287771123552091,0.47092013888888884,0.48120489556189744
seed,val_AUPR,test_AUC,test_AUPRC
4,0.8237093584060513,0.7278645833333334,0.7845088669789683
seed,val_AUPR,test_AUC,test_AUPRC
8,0.8211429237646916,0.7877604166666666,0.8347761489916632
seed,val_AUPR,test_AUC,test_AUPRC
16,0.8112883778457622,0.7760416666666666,0.8210827210621828
