,index
0,108
1,220
2,362
3,383
4,399
5,482
6,909
7,1039
8,1094
9,1120
10,1208
11,1288
12,1336
13,1396
14,1456
15,1458
16,1460
17,1462
18,1473
19,1496
20,1541
21,1546
22,1791
23,1845
