,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ADGRF1,-0.00091342634,-0.002195106,-0.0013761553,0.39414644,-0.0058202385,0.14103237,-0.0074867513,-0.003928487,0.36778557,-0.004890913,-0.0027487054,-0.003569166,-0.0013856097,0.006143961,-0.002726836,0.009951789
ADGRF2,-0.00091342634,-0.002195106,-0.0013761553,0.39414644,-0.0058202385,0.14103237,-0.0074867513,-0.003928487,0.36778557,-0.004890913,-0.0027487054,-0.003569166,-0.0013856097,0.006143961,-0.002726836,0.009951789
ADGRG1,-0.00090771663,-0.002188174,-0.0013804153,0.39317083,-0.0058321594,0.14202403,-0.0074782907,-0.0039347513,0.36797678,-0.0048902864,-0.0027565043,-0.0035701704,-0.0013750436,0.005133096,-0.0027345177,0.008900557
ADGRG5,-0.00090353016,-0.0021790247,-0.0013639848,0.39577362,-0.005818945,0.1404062,-0.007507996,-0.003934494,0.3655859,-0.0048765456,-0.0027497096,-0.0035666912,-0.0013788672,0.009005029,-0.0027358893,0.011015926
ADIRF,-0.00091342634,-0.002195106,-0.0013761553,0.39414644,-0.0058202385,0.14103237,-0.0074867513,-0.003928487,0.36778557,-0.004890913,-0.0027487054,-0.003569166,-0.0013856097,0.006143961,-0.002726836,0.009951789
ADRA1D,-0.00091862923,-0.002184325,-0.0013677159,0.39408308,-0.005820053,0.14102049,-0.007497943,-0.003925711,0.3681443,-0.004899566,-0.0027374309,-0.0035677014,-0.001379017,0.0056503154,-0.0027175313,0.008917589
ADRB2,-0.00091342634,-0.002195106,-0.0013761553,0.39414644,-0.0058202385,0.14103237,-0.0074867513,-0.003928487,0.36778557,-0.004890913,-0.0027487054,-0.003569166,-0.0013856097,0.006143961,-0.002726836,0.009951789
AEBP2,-0.00091342634,-0.002195106,-0.0013761553,0.39414644,-0.0058202385,0.14103237,-0.0074867513,-0.003928487,0.36778557,-0.004890913,-0.0027487054,-0.003569166,-0.0013856097,0.006143961,-0.002726836,0.009951789
AGBL2,-0.00091342634,-0.002195106,-0.0013761553,0.39414644,-0.0058202385,0.14103237,-0.0074867513,-0.003928487,0.36778557,-0.004890913,-0.0027487054,-0.003569166,-0.0013856097,0.006143961,-0.002726836,0.009951789
AGBL3,-0.00091342634,-0.002195106,-0.0013761553,0.39414644,-0.0058202385,0.14103237,-0.0074867513,-0.003928487,0.36778557,-0.004890913,-0.0027487054,-0.003569166,-0.0013856097,0.006143961,-0.002726836,0.009951789
