,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ADGRG1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ADGRG5,0.84639573,-0.018838307,0.75011086,0.13140972,-0.018431362,-0.010100438,0.6792216,2.0285668,-0.023178607,-0.02809504,-0.0007654804,1.8435819,1.1105574,1.3355336,0.13505079,0.0041726455
ADIRF,1.3650793,-0.022977566,0.7497273,0.58014506,-0.020712031,-0.008978345,0.6529332,2.2587113,-0.027546488,-0.03332106,-0.0016781079,2.3611138,1.3587832,1.477444,-0.00012008577,-0.0010187253
ADRA1D,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ADRB2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AEBP2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AGBL2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AGBL3,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AGFG2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AJM1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AK1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AK5,0.84020567,-0.017912976,0.6755551,0.18038939,-0.018863691,-0.010450425,0.63679826,1.995565,-0.023358757,-0.028665101,-0.0014909868,1.872158,1.1202726,1.362748,0.19191623,0.021977864
AK7,1.5046868,-0.021733219,0.8811911,0.7689369,-0.01877653,-0.009070712,0.5666421,2.1968246,-0.028077228,-0.031377513,-0.0031115457,2.233477,1.2062994,1.5893044,-0.0007109964,-0.0024455206
AK9,1.492775,-0.023186313,0.95870185,0.5833332,-0.01813574,-0.010468844,0.6704174,2.3450425,-0.026279798,-0.033630207,-0.000938206,2.2868438,1.2921569,1.4577509,0.14635035,-0.002894342
AKAP5,1.4124852,-0.023287594,0.8008888,0.64767927,-0.020629339,-0.008697394,0.63905823,2.266973,-0.028219497,-0.03378779,-0.0018381361,2.319236,1.3185261,1.4836047,-0.00039514242,-0.0011609077
AKTIP,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ALOX5AP,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AMIGO1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AMT,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANGPTL6,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANK1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANK3,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANKAR,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANKRD26,1.3321224,-0.023294413,0.735883,0.6972524,-0.020130107,-0.008047949,0.6280316,2.1828496,-0.028478064,-0.034258723,-0.002596739,2.301553,1.340568,1.3898956,-0.00060153723,-0.0017894763
ANKRD29,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANKRD31,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANKRD36,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANKRD36B,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANKRD36C,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANKRD39,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANO10,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ANTXRL,1.4689817,-0.023641355,0.8653239,0.62186706,-0.019994741,-0.008188886,0.6042081,2.1962237,-0.027275238,-0.034094058,-0.0014807768,2.3370345,1.3937435,1.4784871,-0.0010179308,-0.00110205
AP1G2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AP3B2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AP5Z1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
APBB2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
APOB,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
APOBEC4,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AQP3,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AREG,1.3946742,-0.022655874,0.6661938,0.64601344,-0.019384641,-0.008034056,0.6784773,2.2764227,-0.027240228,-0.03443405,-0.0026611283,2.1614032,1.1651657,1.4507954,-0.0009890946,-0.0018357891
ARF4-AS1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARHGAP10,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARHGAP24,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARHGAP33,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARHGAP35,1.4124852,-0.023287594,0.8008888,0.64767927,-0.020629339,-0.008697394,0.63905823,2.266973,-0.028219497,-0.03378779,-0.0018381361,2.319236,1.3185261,1.4836047,-0.00039514242,-0.0011609077
ARHGAP39,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARHGAP5,1.4271156,-0.023392387,0.8295836,0.69112873,-0.020968633,-0.009397985,0.6499647,2.2774303,-0.027450422,-0.033606153,-0.0025052973,2.2597353,1.3681476,1.5032365,-0.00049101916,-0.0013785011
ARHGAP8,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARHGEF10,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARHGEF12,1.4453808,-0.022871094,0.90496355,0.5138228,-0.018208023,-0.010727893,0.6830524,2.336285,-0.025609484,-0.033175237,-0.00078931195,2.3287888,1.3331496,1.4513876,0.1725525,-0.0027402027
ARHGEF25,1.371523,-0.023149423,0.76118994,0.5021149,-0.021302905,-0.008348783,0.63556135,2.2301831,-0.026870748,-0.03273478,-0.0015983166,2.357658,1.2165691,1.3962382,0.026681513,-5.8287158e-05
ARIH2OS,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARL4D,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARRDC3,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ARSJ,1.3990097,-0.024409989,0.6565998,0.71784043,-0.018224292,-0.010813156,0.78649265,2.1349409,-0.026574137,-0.031696294,-0.00041077577,2.0664485,1.2636955,1.4521892,0.017155461,-0.0031857484
ART5,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
