0
7SK
A1BG-AS1
A2M
A2ML1
AAAS
AACS
AADACP1
AADAT
AAK1
AAR2
AARD
AARS2
AARSD1
AATBC
AATF
ABALON
ABAT
ABCA11P
ABCA3
ABCA3P1
ABCA5
ABCB10
ABCB6
ABCC1
ABCC10
ABCC12
ABCC13
ABCC3
ABCC4
ABCC5
ABCC5-AS1
ABCC9
ABCD2
ABCF2-H2BK1
ABCF3
ABCG1
ABCG2
ABCG4
ABHD1
ABHD10
ABHD11
ABHD12B
ABHD15-AS1
ABHD16B
ABHD17A
ABHD17AP4
ABHD17AP5
ABHD6
ABI1
ABL2
ABLIM1
ABLIM3
ABO
ABR
ABR-AS1
ABRACL
ABRAXAS2
ABT1
ABTB1
ABTB2
ABTB3
ACAA1
ACACB
ACAD11
ACAD9-DT
ACADL
ACAP1
ACAP2
ACBD3
ACBD5
ACBD6
ACBD7
ACCS
ACE
ACER3
ACHE
ACKR3
ACKR4
ACKR4P1
ACO1
ACOD1
ACOT11
ACOT6
ACOT9
ACOX2
ACOX3
ACOXL
ACP3
ACP5
ACP6
ACP7
ACRBP
ACSF2
ACSL3
ACSL5
ACSL6-AS1
ACSM5
ACSS1
ACTA2-AS1
ACTB
ACTBP11
ACTE1P
ACTG1
ACTL10
ACTL6A
ACTL6B
ACTN1-DT
ACTN4
ACTR10
ACTR5
ACTR8
ACVR1B
ACVR1C
ACVR2A
ACVR2B-AS1
ACVRL1
ACY1
ACY3
ACYP1
ADA
ADA2
ADAD1P1
ADAM11
ADAM12
ADAM15
ADAM19
ADAM22
ADAM23
ADAM28
ADAM32
ADAM33
ADAM6
ADAM8
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS14
ADAMTS15
ADAMTS16-DT
ADAMTS17
ADAMTS2
ADAMTS3
ADAMTS5
ADAMTS6
ADAMTS7P3
ADAMTS8
ADAMTSL2
ADAMTSL4
ADAMTSL5
ADAP1
ADAR
ADAT1
ADCK1
ADCK5
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6-DT
ADCY7
ADCY9
ADD1
ADD2
ADD3
ADD3-AS1
ADGB-DT
ADGRA2
ADGRA3
ADGRA3P1
ADGRB1
ADGRB2
ADGRD1
ADGRE1
ADGRE2
ADGRE5
ADGRF1
ADGRF2
ADGRF3
ADGRF5P1
ADGRG1
ADGRG3
ADGRG5
ADGRG6
ADGRL1
ADI1P1
ADIPOR1
ADIPOR2
ADIRF
ADISSP
ADNP-AS1
ADNP2
ADORA2B
ADORA3
ADPGK
ADPGK-AS1
ADPRS
ADRA1D
ADRA2A
ADRA2B
ADRB1
ADRB2
ADRM1
ADSS1
ADSS2
AEBP1
AEBP2
AEN
