PC,Proportion.Variance.Explained
1,0.11424522146458989
2,0.024623917424414835
3,0.006681189897086198
4,0.0037632425936827154
5,0.0024755601765906275
6,0.002254852038187312
7,0.0013631130115936865
8,0.0013316486399238482
9,0.0009455246066056504
10,0.0009273614430666584
11,0.0008580861966661699
12,0.0006962771181434729
13,0.0006554369886252071
14,0.0006255481920599623
15,0.00061655381204057
