TF_idx,Target_idx,Label,Score,TF_name,Target_name
482,1167,1,0.9925257,GATA3,PLA2G6
482,570,1,0.9923832,GATA3,HIVEP3
482,604,1,0.992378,GATA3,IFNG
482,886,1,0.992378,GATA3,LRIG1
482,1295,1,0.992378,GATA3,RGS3
482,451,1,0.992378,GATA3,FILIP1L
482,312,1,0.992378,GATA3,DCDC2
482,2,1,0.992378,GATA3,ABCA5
482,278,1,0.992378,GATA3,CRADD
482,1021,1,0.992378,GATA3,NCAM2
482,104,1,0.99237764,GATA3,B4GALNT3
482,909,1,0.9923765,GATA3,MAF
482,432,1,0.9923733,GATA3,FBXO16
482,49,1,0.99237204,GATA3,ANK3
482,598,1,0.98652065,GATA3,ICOS
