seed,val_AUPR,test_AUC,test_AUPRC
1,0.8019279554470676,0.7894965277777778,0.8157327373190242
2,0.7301339499620467,0.6961805555555556,0.668945662940124
4,0.8211296723424764,0.7313368055555556,0.7734169959181152
8,0.8195939886238255,0.8085937499999999,0.8472619744193051
16,0.8070065587037517,0.814236111111111,0.8412187389565746
1,0.8191701356048284,0.7990451388888888,0.8267089314164573
2,0.7287771123552091,0.6940104166666667,0.6670666157615857
4,0.8237093584060513,0.7139756944444445,0.770992441658681
8,0.8211429237646916,0.7973090277777778,0.842172692070617
16,0.8112883778457622,0.82421875,0.8485058888963297
1,0.8191701356048284,0.7990451388888888,0.8267089314164573
2,0.7287771123552091,0.6940104166666667,0.6670666157615857
1,0.8191701356048284,0.7990451388888888,0.8267089314164573
2,0.7287771123552091,0.6940104166666667,0.6670666157615857
4,0.8237093584060513,0.7139756944444445,0.770992441658681
8,0.8211429237646916,0.7973090277777778,0.842172692070617
16,0.8112883778457622,0.82421875,0.8485058888963297
1,0.8506418271498234,0.7252604166666667,0.6943716858410667
2,0.8417128853461414,0.7743055555555556,0.8325851054598378
4,0.8379394809016859,0.7348090277777778,0.803000926453761
8,0.8397550952806959,0.7504340277777778,0.8239753179952225
16,0.8484989190805358,0.7148437499999999,0.7983138170677693
1,0.8191701356048284,0.7990451388888888,0.8267089314164573
2,0.7287771123552091,0.6940104166666667,0.6670666157615857
1,0.8191701356048284,0.7990451388888888,0.8267089314164573
2,0.7287771123552091,0.6940104166666667,0.6670666157615857
1,0.8191701356048284,0.7990451388888888,0.8267089314164573
2,0.7287771123552091,0.6940104166666667,0.6670666157615857
1,0.8191701356048284,0.7990451388888888,0.8267089314164573
2,0.7287771123552091,0.6940104166666667,0.6670666157615857
4,0.8237093584060513,0.7139756944444445,0.770992441658681
8,0.8211429237646916,0.7973090277777778,0.842172692070617
1,0.8019279554470676,0.7894965277777778,0.8157327373190242
2,0.7301339499620467,0.6961805555555556,0.668945662940124
4,0.8211296723424764,0.7313368055555556,0.7734169959181152
8,0.8195939886238255,0.8085937499999999,0.8472619744193051
16,0.8070065587037517,0.814236111111111,0.8412187389565746
1,0.8506418271498234,0.7252604166666667,0.6943716858410667
16,0.8484989190805358,0.7148437499999999,0.7983138170677693
2,0.8417128853461414,0.7743055555555556,0.8325851054598378
1,0.7870531044195538,0.3975694444444445,0.44820468800352803
2,0.8109236180791756,0.7031249999999999,0.6864366367470152
4,0.789662087477484,0.3203125,0.38637821077836076
1,0.7870531044195538,0.3975694444444445,0.44820468800352803
2,0.8109236180791756,0.7031249999999999,0.6864366367470152
4,0.789662087477484,0.3203125,0.38637821077836076
2,0.8109236180791756,0.7031249999999999,0.6864366367470152
4,0.789662087477484,0.3203125,0.38637821077836076
8,0.8160009876683516,0.7035590277777778,0.763341628453406
16,0.817859107486298,0.6458333333333334,0.6673767063007628
4,0.789662087477484,0.3203125,0.38637821077836076
8,0.8160009876683516,0.7035590277777778,0.763341628453406
16,0.817859107486298,0.6458333333333334,0.6673767063007628
1,0.8751775447414687,0.657986111111111,0.6580250034657823
2,0.8427281234104872,0.7126736111111113,0.7817721810783826
4,0.8431404494271026,0.6562499999999999,0.739814268821424
8,0.8413674427184411,0.6801215277777777,0.7612354998645886
16,0.8405742961037508,0.703125,0.7735428266442292
8,0.8413674427184411,0.6801215277777777,0.7612354998645886
16,0.8405742961037508,0.703125,0.7735428266442292
2,0.8427281234104872,0.7568359375,0.6363161786423961
